store_id,customer_first_name,customer_last_name,order_id,order_name,order_placed_timestamp,fully_paid,fulfillment_status,net_gmv,currency,billing_address_country,shipping_address_country,user_agent
8897380329165,Daniel,Garcia,6284018083840,#1650,2025-02-18T12:39:22.754702,paid,null,10.6,EUR,Belgium,Belgium,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8820455180468,Jane,Rodriguez,6295767757945,#1651,2025-02-20T01:39:22.754740,paid,null,11.92,EUR,Spain,Spain,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8340239914661,Sarah,Rodriguez,6265317902205,#1652,2025-02-17T02:39:22.754756,paid,null,40.04,EUR,Netherlands,Netherlands,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8497084907990,Jane,Garcia,6278631465731,#1653,2025-03-04T09:39:22.754768,paid,null,7.59,EUR,Sweden,Sweden,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8082611465569,Jessica,Davis,6238853059653,#1654,2025-02-07T07:39:22.754780,paid,null,44.67,EUR,UK,UK,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8198433648605,Michael,Miller,6276104799045,#1655,2025-02-08T03:39:22.754791,paid,null,6.68,EUR,Sweden,Sweden,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8120004340470,Jessica,Garcia,6223212003042,#1656,2025-02-11T16:39:22.754801,paid,null,33.67,EUR,Spain,Spain,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8291529076930,Michael,Martinez,6200902529967,#1657,2025-02-05T07:39:22.754817,paid,null,29.0,EUR,Sweden,Sweden,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8304776749818,Sarah,Garcia,6275773375219,#1658,2025-02-07T12:39:22.754827,paid,null,6.93,EUR,Sweden,Sweden,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8360039887637,Emma,Martinez,6265512564132,#1659,2025-02-26T20:39:22.754837,paid,null,29.32,EUR,Germany,Germany,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
